,A_LFQ,B_LFQ,A,B
sp|Q9NVS9|PNPO_HUMAN,17013936.433592618,15963541.6490884,16719381.013578614,16258097.069102403
sp|Q9Y6J0|CABIN_HUMAN,6106703.14294766,4644761.0735353455,6106703.142947659,4644761.073535345
sp|Q04323|UBXN1_HUMAN,81869495.84734893,76841681.5314534,75628149.6981766,83083027.68062574
sp|Q9H0G5|NSRP1_HUMAN,3096910.5764166648,2915536.9595294716,3096910.5764166648,2915536.9595294716
sp|Q16666|IF16_HUMAN,14305275.30371086,15614676.52974191,15845737.313868474,14074214.519584293
sp|P09429|HMGB1_HUMAN,401499922.70667875,437489671.084427,431443381.60631156,407546212.1847941
sp|P61086|UBE2K_HUMAN,70536220.17108141,74401902.56191278,72077264.34994383,72860858.38305038
sp|Q86UP2|KTN1_HUMAN,4978992.460551526,7229477.35966812,5498599.654838674,6709870.165380972
sp|Q8TCZ2|C99L2_HUMAN,3067526.250642893,2911233.8869706555,2208083.331952639,3770676.80566091
"sp|P63162|RSMN_HUMAN,sp|P14678|RSMB_HUMAN",182104386.78212684,164985902.2643324,183395371.8336135,163694917.21284574
sp|O15116|LSM1_HUMAN,14934382.243193867,14875405.534967782,14149907.875795903,15659879.902365746
sp|P08572|CO4A2_HUMAN,3957645.5935136313,7146453.336890622,4023710.7651808504,7080388.165223403
sp|P54687|BCAT1_HUMAN,3473552.3148559215,4031156.1478773197,3580909.607420342,3923798.855312899
sp|Q9NPQ8|RIC8A_HUMAN,11223379.487391202,11658658.661188556,12061988.043719457,10820050.104860304
sp|Q96DH6|MSI2H_HUMAN,38980235.23543009,40125315.58469281,39899989.419464536,39205561.40065838
sp|Q9Y5X1|SNX9_HUMAN,7103140.271299523,7088546.903598861,8018046.452422855,6173640.722475529
sp|Q9NUG6|PDRG1_HUMAN,3453445.9491914315,1997180.5422274945,3453445.9491914315,1997180.5422274948
sp|P45973|CBX5_HUMAN,208462256.55913928,196180999.66764826,212235428.6907735,192407827.5360141
sp|P35052|GPC1_HUMAN,3379349.2431626855,3217303.9507691236,3709419.75281427,2887233.4411175395
sp|Q14847|LASP1_HUMAN,304678155.6770369,310770419.849324,290114302.2045696,325334273.3217913
sp|Q15024|EXOS7_HUMAN,33573796.819654584,37335042.18592414,32237300.764877312,38671538.24070142
sp|P61604|CH10_HUMAN,828019127.6027933,842476415.4488246,719494586.872683,951000956.178935
sp|Q07812|BAX_HUMAN,39320548.61455939,49639826.03562181,38343336.26845516,50617038.38172604
sp|Q9HA64|KT3K_HUMAN,14863322.743767148,14171655.26304696,16372748.447015768,12662229.55979834
sp|Q9NRG9|AAAS_HUMAN,8528222.746353025,9008409.00309705,8512666.284474986,9023965.464975087
sp|Q9HCD5|NCOA5_HUMAN,4078016.444726179,6610966.708885883,4413122.566917052,6275860.586695011
sp|Q14781|CBX2_HUMAN,3501692.807612726,5774209.789521005,3501692.807612726,5774209.789521005
sp|P30260|CDC27_HUMAN,3979562.6980140167,8251239.452378492,3914263.212260241,8316538.938132269
sp|Q9BRP4|PAAF1_HUMAN,3441276.610865236,3260956.2206828557,4106372.6334307496,2595860.198117342
sp|P15289|ARSA_HUMAN,786454.3436790799,,786454.3436790799,
sp|Q14118|DAG1_HUMAN,2489397.5909985956,2757526.186521089,1972924.8331867834,3273998.9443329014
sp|P09661|RU2A_HUMAN,87404270.7156483,94725420.99512166,72517309.59900185,109612382.11176811
sp|P53597|SUCA_HUMAN,70416691.60791166,70961876.72337471,64717674.204003885,76660894.12728247
sp|O60678|ANM3_HUMAN,6900810.1884056935,6817641.918595611,7190329.923136586,6528122.183864717
sp|Q96JY6|PDLI2_HUMAN,5111681.057398911,5084181.1325216275,5143109.951954936,5052752.237965603
sp|Q14657|LAGE3_HUMAN,4936406.79051981,3010353.2027732106,4936406.79051981,3010353.20277321
sp|O00151|PDLI1_HUMAN,89372895.58943208,95560796.7140358,89554022.92885299,95379669.37461491
sp|O15446|RPA34_HUMAN,10993725.096558586,10425127.364216335,10412385.839188969,11006466.62158595
sp|Q16629|SRSF7_HUMAN,255592681.4985131,212408498.15511256,275365749.38124055,192635430.27238518
sp|Q8N335|GPD1L_HUMAN,19661775.810044594,19168314.751897722,22885881.1323866,15944209.429555709
sp|Q9BYG3|MK67I_HUMAN,17175075.32642081,19342956.939942103,16465808.562402088,20052223.703960825
sp|O00233|PSMD9_HUMAN,32901430.907764055,33254870.215047937,32769132.40529562,33387168.717516366
"sp|P13928|ANXA8_HUMAN,sp|Q5VT79|AXA81_HUMAN",24367793.790380068,30024574.879306246,25268248.801315133,29124119.86837119
sp|P55209|NP1L1_HUMAN,298008680.6675948,323701873.1451438,319402396.59454715,302308157.21819156
Q3KUS7,2776597.341119853,2812450.8095350894,2776597.341119853,2812450.80953509
sp|P49247|RPIA_HUMAN,,,3416983.188071016,576921.2144217301
sp|P52735|VAV2_HUMAN,3469047.7903781594,1526493.7038410897,2761473.582028438,2234067.9121908112
sp|Q9NXV6|CARF_HUMAN,7971312.867423993,8273311.527314763,7993992.571294265,8250631.82344449
ENSEMBL:ENSBTAP00000018229,140674306.9981814,155713776.4869685,149876587.35626253,146511496.1288874
sp|Q9P013|CWC15_HUMAN,26486582.235866684,25058030.642999906,24389414.80182774,27155198.077038847
sp|O60888|CUTA_HUMAN,67689630.30419724,84024176.10182616,81868688.15859519,69845118.2474282
sp|A6QL64|AN36A_HUMAN,2943690.2964640763,,2943690.2964640763,
sp|Q9BSD7|NTPCR_HUMAN,42159791.3419873,37263459.680593446,40479861.840513274,38943389.18206746
sp|Q9NP73|ALG13_HUMAN,1158880.3516453577,2098288.1102209715,1158880.3516453577,2098288.110220972
sp|P83916|CBX1_HUMAN,9759664.74506945,10906608.689574935,12468250.002095416,8198023.432548971
sp|P20929|NEBU_HUMAN,,,2146268.1208502776,3843442.353374205
sp|Q96TC7|RMD3_HUMAN,1814855.794816044,1493952.3112779227,2142221.609319951,1166586.4967740155
sp|Q9BV38|WDR18_HUMAN,29341118.2431816,28631796.21615896,31236922.923742913,26735991.53559764
sp|P62277|RS13_HUMAN,284252814.10574865,279284387.3443541,305513711.4715749,258023489.9785279
sp|Q9H098|F107B_HUMAN,45777583.69822809,47590850.70746955,45042530.49247154,48325903.913226105
sp|Q6RFH5|WDR74_HUMAN,10203898.711765701,16171605.159693915,11764417.74057879,14611086.130880827
sp|Q9Y680|FKBP7_HUMAN,7898529.8339880835,6982573.570965616,7814569.424187595,7066533.980766105
sp|Q8IXB1|DJC10_HUMAN,11693623.544004278,14956171.03288578,10662327.076244814,15987467.500645243
sp|P21291|CSRP1_HUMAN,504683287.2843202,538476311.7372377,515553453.4245824,527606145.59697545
sp|Q6EEV4|GL1AD_HUMAN,15351079.586346434,12107783.557645703,15629388.95410803,11829474.189884108
REV__sp|Q9Y6C2|EMIL1_HUMAN,3740136.992420275,4023184.3432606077,4244015.969278311,3519305.366402571
sp|Q92934|BAD_HUMAN,3103558.7657569787,2541743.5739191165,3103558.7657569787,2541743.5739191165
sp|P82675|RT05_HUMAN,2456049.12588837,1575495.8415865493,2456049.12588837,1575495.8415865493
sp|O75746|CMC1_HUMAN,1976944.6102777584,2162161.3768474194,1976944.6102777584,2162161.37684742
sp|P23743|DGKA_HUMAN,1499456.856648429,3032691.3763197116,1300960.2403549363,3231187.992613204
sp|Q9NVE7|PANK4_HUMAN,1633395.6778011248,2409675.9547554506,2862906.092936599,1180165.539619976
sp|Q8IYJ3|SYTL1_HUMAN,4335459.844288871,4880990.830652499,4335459.844288871,4880990.8306525
sp|P08574|CY1_HUMAN,19567159.81195862,19649465.237495165,17097910.694981422,22118714.354472365
sp|Q8IWB7|WDFY1_HUMAN,17307019.926760998,19744423.901342534,16928394.04113033,20123049.786973193
sp|Q8NCW5|NNRE_HUMAN,64388283.766951285,63390020.47200275,69789369.28016587,57988934.95878817
sp|Q9H583|HEAT1_HUMAN,7372254.585720526,7910150.115456001,7859895.040969495,7422509.660207031
sp|Q9UKX7|NUP50_HUMAN,59670204.13972769,63366183.136685655,59010553.12584929,64025834.15056406
sp|Q08499|PDE4D_HUMAN,33771786.12957887,29213274.862951837,33554449.9029764,29430611.089554317
sp|Q9BTE7|DCNL5_HUMAN,2675840.7423458723,5351091.072914593,3411197.794709837,4615734.020550628
sp|P17931|LEG3_HUMAN,243819485.08824974,245521774.34333366,241251174.99173605,248090084.43984738
sp|Q7Z6K5|ARPIN_HUMAN,4864052.30288714,11335443.14794209,4502020.69436816,11697474.75646107
sp|Q8NBF2|NHLC2_HUMAN,7154502.007174943,10730340.835202381,4842866.713394575,13041976.128982749
sp|Q99707|METH_HUMAN,8653018.666141983,7654907.714174214,9053622.006958032,7254304.373358165
sp|P62312|LSM6_HUMAN,2190277.510185047,2907397.936961285,979316.4817381453,4118358.9654081864
sp|P41236|IPP2_HUMAN,13588510.610114435,14130284.111476066,12421083.970670395,15297710.750920106
sp|Q7Z739|YTHD3_HUMAN,21673737.993065484,22579495.781970255,19356744.409966215,24896489.365069523
sp|Q96IJ6|GMPPA_HUMAN,48962696.29978419,47444857.28909225,49026978.432348914,47380575.15652753
sp|O15013|ARHGA_HUMAN,,,1087866.1728054916,2009664.7554604034
sp|P58546|MTPN_HUMAN,57967257.71685178,86105888.50899723,42206944.03200483,101866202.19384418
sp|P49821|NDUV1_HUMAN,6213372.7765842,5240023.808491324,6808996.959154442,4644399.625921082
sp|Q92615|LAR4B_HUMAN,8478443.11848732,7830646.865557361,6140351.409826846,10168738.574217837
sp|Q92733|PRCC_HUMAN,7052135.98802148,7105320.831187269,6015245.6876786575,8142211.131530092
sp|Q9H2P0|ADNP_HUMAN,21808593.245691277,26555786.76848323,21670686.305650596,26693693.708523907
sp|P17813|EGLN_HUMAN,1289610.942377986,794508.4006358234,1289610.942377986,794508.4006358234
sp|Q9H0L4|CSTFT_HUMAN,2627147.615582466,3349249.022323468,2642512.6126031484,3333884.0253027854
sp|P42345|MTOR_HUMAN,3203800.008393669,6206268.890574545,2146697.9010933917,7263370.997874821
sp|P51532|SMCA4_HUMAN,1492922.878753104,2064096.2896527406,2028470.988536545,1528548.1798692995
sp|Q96NU1|SAM11_HUMAN,2711126.481937465,2670802.2726600054,2711126.4819374643,2670802.272660005
sp|Q6UW63|PLGT2_HUMAN,5779884.389786628,3094829.0423170356,4285171.291952709,4589542.140150955
sp|Q9Y5Q9|TF3C3_HUMAN,2828516.328302773,1219895.459137558,2971682.26122161,1076729.5262187207
sp|Q96M27|PRRC1_HUMAN,55040151.16908889,63162098.05411839,54221426.229997955,63980822.993209325
sp|O43169|CYB5B_HUMAN,3932565.8555721845,3696795.8897394096,4832601.7164109815,2796760.028900612
sp|Q9BZX2|UCK2_HUMAN,29261226.25874096,29476734.526865367,31278201.948077463,27459758.837528866
sp|Q9H7D7|WDR26_HUMAN,7644296.659707367,6854316.35215485,8667369.041254073,5831243.970608144
sp|P14649|MYL6B_HUMAN,4567326.417522762,4424659.233101751,5272985.491807869,3719000.158816645
sp|Q12979|ABR_HUMAN,2737864.953241919,2378840.108561207,3087774.694433538,2028930.3673695885
Q3KNV1,15274262.272439841,10823172.266927142,16354285.60714427,9743148.93222271
sp|P32456|GBP2_HUMAN,2673904.3807483753,2993387.0071075843,1697253.671519328,3970037.716336632
sp|Q13526|PIN1_HUMAN,91384090.89003721,83787045.2574731,91656849.66958413,83514286.47792615
sp|Q5VW36|FOCAD_HUMAN,,,1497585.3505828988,2196934.042937454
sp|P53384|NUBP1_HUMAN,30765813.406108998,30573647.6832589,34748814.78650707,26590646.30286083
sp|Q14684|RRP1B_HUMAN,4645593.56168996,4201370.40564799,4311632.970741594,4535330.996596355
sp|Q5T280|CI114_HUMAN,10996848.58856904,7167899.128870728,10245268.627043767,7919479.090396
sp|Q9Y275|TN13B_HUMAN,7527570.437223787,4974306.400761509,7527570.437223786,4974306.400761509
sp|Q9NR45|SIAS_HUMAN,134187505.72209771,139798496.7940541,120863601.75081971,153122400.76533207
sp|Q8N4Q1|MIA40_HUMAN,15752141.498927189,17163118.827156067,14812951.940986203,18102308.385097053
sp|Q92905|CSN5_HUMAN,72487022.57663064,70279728.16067632,65360784.41869606,77405966.31861088
sp|P22694|KAPCB_HUMAN,5014728.3071482135,5350205.94611348,4899799.776407731,5465134.476853963
sp|Q5UCC4|EMC10_HUMAN,2942347.6972441454,5694375.20563563,1264018.262579754,7372704.640300021
sp|O00767|ACOD_HUMAN,2539657.1423916095,,2539657.1423916095,
Q1RMN8,10457022.632503085,10448044.348218607,10425635.020148769,10479431.960572919
sp|P11166|GTR1_HUMAN,5980471.998558475,11040428.671746291,7127808.878897328,9893091.791407436
sp|P53634|CATC_HUMAN,73423927.38084967,75794215.52162975,68420260.55155838,80797882.35092106
sp|P43307|SSRA_HUMAN,3283462.1685715374,2675478.8074346446,3283462.1685715374,2675478.8074346446
sp|P42574|CASP3_HUMAN,9822202.31571016,13483153.515807953,8630898.093240574,14674457.73827754
sp|P0DPB6|RPAC2_HUMAN,13655017.864154566,13478014.818379339,14128491.146448385,13004541.53608552
sp|O43504|LTOR5_HUMAN,39071544.96042671,37458588.28325851,41483679.29106575,35046453.95261946
sp|Q12905|ILF2_HUMAN,342191867.65918446,354171085.25812817,328116885.0585711,368246067.8587415
sp|Q9Y657|SPIN1_HUMAN,9825171.551787678,8421798.429801082,11846029.241444007,6400940.740144753
sp|Q7Z4W1|DCXR_HUMAN,8251003.289517793,5913376.587302091,8198799.97262692,5965579.904192962
sp|O60828|PQBP1_HUMAN,40695862.70011678,41509176.29807154,41443708.93385969,40761330.06432864
sp|Q9H974|QTRT2_HUMAN,,,625648.5326917069,1732573.2751267436
sp|P62306|RUXF_HUMAN,6367855.998605754,6036065.545680407,2794676.4047185327,9609245.139567629
sp|Q13404|UB2V1_HUMAN,203177539.35926086,207485029.7556851,194066581.2550875,216595987.85985854
sp|Q7Z3T8|ZFY16_HUMAN,2848331.9224462835,3035683.3956980985,1910986.7644031185,3973028.5537412637
sp|Q13576|IQGA2_HUMAN,19742684.40332937,21425301.515614267,17150458.750252865,24017527.168690767
sp|O60936|NOL3_HUMAN,11277920.004433714,15293978.211847218,11049358.96671458,15522539.249566348
sp|Q9BV20|MTNA_HUMAN,27630308.98393188,31965586.243478533,20565338.13163902,39030557.0957714
sp|P62140|PP1B_HUMAN,72006241.64259875,47415980.64155417,69692334.86021417,49729887.423938744
sp|Q15366|PCBP2_HUMAN,263833420.42780626,248552793.75185052,291814733.8854544,220571480.2942023
sp|Q6UXN9|WDR82_HUMAN,48197416.96006785,45060303.59542438,54276065.01075217,38981655.54474004
sp|P46779|RL28_HUMAN,52114915.672192864,53254758.89290615,47984955.79438754,57384718.77071146
sp|P61962|DCAF7_HUMAN,10041571.462583872,9967454.040127032,9519570.64909895,10489454.85361195
sp|P26885|FKBP2_HUMAN,86466508.83840975,94409951.37698507,89868616.32134143,91007843.89405338
sp|P62942|FKB1A_HUMAN,100436402.60717018,100856212.23037218,99711985.70314503,101580629.13439731
sp|Q9HD15|SRA1_HUMAN,15101737.303160645,15808156.051245179,16803860.129491057,14106033.224914767
sp|Q9Y376|CAB39_HUMAN,19687562.5642485,16276849.846837074,24442572.994085625,11521839.416999945
sp|Q16527|CSRP2_HUMAN,17495543.90492107,16144389.856098533,16851022.249257416,16788911.51176219
sp|P50402|EMD_HUMAN,4946638.1886863075,5798096.1795053,6163918.1639049975,4580816.204286611
sp|P19838|NFKB1_HUMAN,4755035.1055993,5544134.684662828,4659163.562210752,5640006.2280513765
sp|Q9UHR6|ZNHI2_HUMAN,1548189.2224938197,1828659.7345074452,1548189.2224938194,1828659.7345074452
sp|Q16537|2A5E_HUMAN,7103360.178254179,9051713.044566559,6053067.399375113,10102005.823445626
sp|P53701|CCHL_HUMAN,1878070.3001079059,4330221.4727735445,4539156.897491874,1669134.875389576
sp|O60613|SEP15_HUMAN,13009772.425960606,14091744.564370465,13052785.563043583,14048731.42728749
sp|Q9ULX3|NOB1_HUMAN,26875766.688708387,24904377.07963598,26770703.184174545,25009440.58416982
sp|P30533|AMRP_HUMAN,112595104.5696475,111117594.29866348,117401748.452415,106310950.41589598
sp|Q96IR7|HPDL_HUMAN,7083711.283758189,5301369.674752912,5714479.2274140315,6670601.731097069
sp|P35222|CTNB1_HUMAN,7228338.681537389,6164754.854466122,7412489.480722469,5980604.055281043
sp|Q8N6M0|OTU6B_HUMAN,8939659.386519281,9438761.43495606,12415514.265196249,5962906.556279093
sp|Q68E01|INT3_HUMAN,3183690.622913996,6722102.627369661,3847452.477902144,6058340.772381512
sp|Q9UPT5|EXOC7_HUMAN,5645970.747993403,6005981.669114725,5788640.762336766,5863311.6547713615
sp|P30043|BLVRB_HUMAN,163936797.73368233,155971990.5160344,168323368.7438505,151585419.50586626
sp|Q9Y2X7|GIT1_HUMAN,2961995.1217263853,3138211.317605025,3497335.0238895714,2602871.415441839
sp|O00244|ATOX1_HUMAN,81935410.37056252,77452593.31214893,67155368.71116635,92232634.9715451
sp|Q9P0J7|KCMF1_HUMAN,7372069.443433007,6542618.616126412,7328807.603912819,6585880.455646599
sp|Q9NRY5|F1142_HUMAN,8323778.9441436995,,8323778.9441436995,
sp|Q15154|PCM1_HUMAN,5963445.91134375,6468634.059692073,6162701.215307255,6269378.755728569
sp|Q9GZP4|PITH1_HUMAN,3626033.0204699654,3051838.043782461,4089449.8475694787,2588421.216682948
sp|Q5T5C0|STXB5_HUMAN,2999944.4774143705,3009956.4948540637,3431517.511513482,2578383.4607549524
sp|Q9Y6A5|TACC3_HUMAN,7484803.393021607,11412683.705618285,7657669.598566426,11239817.500073463
sp|O00584|RNT2_HUMAN,6100559.519951342,5464525.727623171,6100559.519951341,5464525.72762317
sp|Q7RTV0|PHF5A_HUMAN,52982637.29287971,57592560.053690575,52299790.64182019,58275406.70475008
sp|Q9UBI1|COMD3_HUMAN,5692626.781162633,6894858.888551688,5282380.504820879,7305105.164893443
sp|Q5T9A4|ATD3B_HUMAN,7560663.453962684,6817142.966879819,8031014.898123748,6346791.522718754
sp|Q8TC07|TBC15_HUMAN,7304522.361411217,9444998.111247081,7189227.924640726,9560292.54801757
sp|P49773|HINT1_HUMAN,380466132.2847788,427121654.7185535,364350712.28091943,443237074.7224128
P02777,147275373.7331326,181704151.76994222,176277726.51953632,152701798.9835385
sp|Q9H4L4|SENP3_HUMAN,3101213.993017584,3169979.4396860576,2455171.072733677,3816022.359969965
sp|Q58FF7|H90B3_HUMAN,8528879.362656128,7254423.724410236,8528879.362656128,7254423.724410236
sp|Q9H9C1|SPE39_HUMAN,1269969.5436671344,,1269969.5436671344,
sp|Q96HS1|PGAM5_HUMAN,5779166.8982814625,9504858.379182506,7847421.8851090195,7436603.39235495
sp|Q969E4|TCAL3_HUMAN,4773764.896798682,5965793.841009633,6103410.718661578,4636148.019146735
sp|Q9UBW8|CSN7A_HUMAN,23848277.94703134,22805480.608470216,23059416.5837022,23594341.971799366
sp|O00418|EF2K_HUMAN,2514672.1018098625,1723555.247099944,3003491.673612226,1234735.6752975807
sp|P07311|ACYP1_HUMAN,13198891.998417253,17345073.044412445,13644264.899371767,16899700.143457934
sp|Q9NZ45|CISD1_HUMAN,8964746.884804139,9233081.885553516,8913998.809990924,9283829.96036673
sp|Q8N5K1|CISD2_HUMAN,1803826.7370384103,,1803826.7370384103,
sp|Q8NFH3|NUP43_HUMAN,67096815.29405335,67373059.0796596,65102236.12126602,69367638.25244695
sp|Q7Z2Z2|EFL1_HUMAN,7679901.417417909,12407661.498085514,8561401.11164728,11526161.803856144
sp|Q9Y3S2|ZN330_HUMAN,5524177.643731285,6043444.034570852,6298194.378544329,5269427.29975781
sp|Q53LP3|SWAHC_HUMAN,698613.4687303726,,698613.4687303726,
sp|Q8NEZ5|FBX22_HUMAN,9150587.885379465,8560006.81017192,9415678.728740146,8294915.966811238
sp|Q7LBC6|KDM3B_HUMAN,6994660.348824847,6070168.434488971,7614643.83663352,5450184.946680298
sp|Q5SRE5|NU188_HUMAN,5243099.2979018465,4890273.24713501,7664570.710446571,2468801.834590286
sp|P53367|ARFP1_HUMAN,23870559.27376547,25531552.361071873,22483666.215323977,26918445.419513363
sp|Q9H0A8|COMD4_HUMAN,,,1664438.4880557805,2153739.210285331
sp|Q9HBL8|NMRL1_HUMAN,5512507.337601473,4323065.500712997,5540652.6973046865,4294920.141009784
sp|P49757|NUMB_HUMAN,7748309.897109731,6556532.6871683225,2913868.1580910627,11390974.42618699
sp|P20645|MPRD_HUMAN,6844912.480505502,6557650.795889546,6844912.480505502,6557650.795889547
sp|P53680|AP2S1_HUMAN,17630137.071914684,18531689.01544897,17851709.91556089,18310116.171802763
sp|Q9UKV8|AGO2_HUMAN,7767076.707463013,7672402.014699035,7157337.54239169,8282141.179770357
sp|Q00169|PIPNA_HUMAN,25346352.5557989,21792550.06045382,28390877.14642604,18748025.469826676
sp|Q86V21|AACS_HUMAN,3879613.851321547,5276554.308778728,4059560.681291516,5096607.47880876
sp|Q9H9B4|SFXN1_HUMAN,49026116.25678573,51832875.29067131,41403867.23399829,59455124.31345874
sp|Q9NRW7|VPS45_HUMAN,3016772.6026567854,5660906.409284501,3345502.34179293,5332176.670148358
sp|Q15291|RBBP5_HUMAN,14274818.076130634,8628520.495906372,10777186.445114706,12126152.126922298
"sp|P63092|GNAS2_HUMAN,sp|Q5JWF2|GNAS1_HUMAN",35356549.512093075,37494752.35185443,36434527.579665296,36416774.28428222
sp|P51808|DYLT3_HUMAN,38607435.52998502,38952596.530220896,50099688.327941254,27460343.732264668
sp|O14734|ACOT8_HUMAN,2330558.2830731575,1664371.2362685804,1958967.2307123567,2035962.2886293808
sp|Q8WUW1|BRK1_HUMAN,8041167.197155446,19468569.291084297,10795682.587600347,16714053.900639398
sp|Q8TAD8|SNIP1_HUMAN,2197172.5983074643,,2197172.5983074643,
sp|P51648|AL3A2_HUMAN,13841460.001251187,10701498.015931498,14072820.88654209,10470137.130640596
sp|P08708|RS17_HUMAN,372138646.5359968,359322730.2416351,343906706.3558732,387554670.42175865
sp|O75935|DCTN3_HUMAN,14618434.729830908,14636513.279213497,15716408.873176599,13538539.135867806
sp|Q86VS8|HOOK3_HUMAN,3947937.7222464834,3536476.272093237,4274777.888449269,3209636.105890451
sp|O00399|DCTN6_HUMAN,15647420.256808933,15455042.128985558,15644288.885663908,15458173.500130583
sp|O14880|MGST3_HUMAN,3566721.75305986,5148503.784304505,3566721.7530598603,5148503.784304505
sp|P29373|RABP2_HUMAN,10349857.159717832,9248913.190033916,12346719.566944718,7252050.782807032
sp|Q9BW92|SYTM_HUMAN,686935.4853911913,1874123.0561705816,686935.4853911914,1874123.0561705818
sp|Q9NRN7|ADPPT_HUMAN,1339532.46333081,2695433.146140266,1339532.46333081,2695433.146140266
sp|O95071|UBR5_HUMAN,4797928.2980789635,7777159.726436651,5599454.981708877,6975633.042806739
sp|Q96JN8|NEUL4_HUMAN,6346949.6880110195,6117457.4465673175,10633765.129876828,1830642.0047015105
sp|P40429|RL13A_HUMAN,118177730.44607422,119006677.422753,117593355.83072704,119591052.03810018
REV__sp|Q9NRA8|4ET_HUMAN,2894606.6954122465,3347595.2739970013,2894606.6954122465,3347595.2739970013
sp|Q9BY32|ITPA_HUMAN,42304435.15893492,44333929.25641514,35680106.01065546,50958258.4046946
sp|Q13325|IFIT5_HUMAN,2882536.620073122,5165315.7456549285,6208503.893570753,1839348.4721572981
sp|Q9Y6B6|SAR1B_HUMAN,24125208.06799497,23039681.46818357,21204357.268121786,25960532.26805676
sp|P50750|CDK9_HUMAN,4804167.154514933,8780950.933523482,5400363.65038975,8184754.437648665
sp|Q13823|NOG2_HUMAN,714323.8075612842,2053215.3375622563,714323.8075612842,2053215.337562256
sp|Q9UBV8|PEF1_HUMAN,10994967.882052435,10215909.90448459,10985894.498374175,10224983.28816285
sp|Q04837|SSBP_HUMAN,63182470.23244357,71025206.97256413,61392140.166032724,72815537.03897499
sp|P61289|PSME3_HUMAN,171330806.9466348,172322241.82592416,177348841.0158054,166304207.7567535
sp|Q9H3R5|CENPH_HUMAN,914984.468381567,1011426.3252996029,914984.4683815669,1011426.3252996028
sp|P63173|RL38_HUMAN,122812789.23252173,127472180.20464304,128682384.51093955,121602584.92622522
REV__sp|O75116|ROCK2_HUMAN,22045248.06459685,,22045248.06459685,
sp|P30837|AL1B1_HUMAN,133001250.53816165,145547779.0151279,137453182.4538886,141095847.09940097
sp|Q8TAF3|WDR48_HUMAN,4097239.3558344394,4597593.502132958,4508091.276445919,4186741.581521478
sp|Q9UJX2|CDC23_HUMAN,3178645.1280815937,6431038.898798992,3606919.864703751,6002764.162176833
sp|Q15714|T22D1_HUMAN,31221973.504811663,30015838.63193634,30534862.86668293,30702949.270065077
sp|O00629|IMA3_HUMAN,65609195.46518324,65284347.36539574,66259339.796604484,64634203.033974506
sp|P17900|SAP3_HUMAN,,,940502.4365626349,457281.45221036224
sp|O00505|IMA4_HUMAN,28741673.341819253,36047593.87250634,29743834.28083038,35045432.93349521
sp|Q03013|GSTM4_HUMAN,1511541.2652193524,,1511541.2652193524,
sp|P83111|LACTB_HUMAN,1564610.481642254,,1564610.481642254,
sp|Q9ULT8|HECD1_HUMAN,1317512.0863904194,1165611.142558381,1772328.2007294483,710795.028219352
sp|P02794|FRIH_HUMAN,23834307.786021266,22520722.475493077,25191256.579161942,21163773.6823524
sp|P42226|STAT6_HUMAN,3822120.024096836,3140556.0846210737,4003049.2521221284,2959626.8565957816
sp|Q9Y4E8|UBP15_HUMAN,22776180.72713846,24828876.077163443,22467784.23323094,25137272.571070965
sp|Q7L523|RRAGA_HUMAN,10131193.151463471,10668087.270159258,11015429.741337933,9783850.680284794
sp|Q8WUA2|PPIL4_HUMAN,10689366.836073877,6306883.3273501415,7816622.3745530285,9179627.78887099
sp|Q15208|STK38_HUMAN,1746532.906025853,,1746532.906025853,
sp|Q9Y315|DEOC_HUMAN,1674042.2308387726,1398977.0455072327,1674042.2308387724,1398977.0455072327
sp|Q00535|CDK5_HUMAN,14572598.632400377,15340292.405305611,14046312.126844175,15866578.91086181
sp|P14635|CCNB1_HUMAN,19823834.77273797,17085868.833614264,19425178.67272175,17484524.93363048
sp|O95219|SNX4_HUMAN,19435415.476782717,19782233.23163747,18301635.82597133,20916012.882448856
sp|P30154|2AAB_HUMAN,3638647.0852474165,3749124.667807206,3638647.085247417,3749124.6678072065
sp|Q9UIV1|CNOT7_HUMAN,2672737.4866361665,3661410.8044606354,2263907.556243663,4070240.7348531387
sp|Q5U5X0|LYRM7_HUMAN,18377697.566138703,17842027.063403085,18551902.402101375,17667822.22744041
sp|Q8WW59|SPRY4_HUMAN,1590040.9836220557,1794949.268616258,1590040.9836220555,1794949.268616258
sp|Q13303|KCAB2_HUMAN,2577801.4016027837,2126118.974821417,2577801.401602784,2126118.974821417
sp|P05161|ISG15_HUMAN,335483650.2783419,335765041.8818006,281582592.0240368,389666100.13610566
sp|O15305|PMM2_HUMAN,66138264.578612454,62037260.89150983,66286461.46204904,61889064.008073255
sp|Q92925|SMRD2_HUMAN,3209366.780573612,3520715.0969431545,3343861.8037318224,3386220.0737849446
sp|P85037|FOXK1_HUMAN,14464531.843288954,14237192.131865311,14381127.020085862,14320596.955068408
sp|P57772|SELB_HUMAN,623176.7326235488,,623176.7326235488,
sp|Q9NRX4|PHP14_HUMAN,174431645.0694872,211133852.19811904,196359403.2243526,189206094.04325366
sp|P20674|COX5A_HUMAN,17115980.707600333,17232650.063781552,17690041.52137487,16658589.250007017
sp|Q9UBU9|NXF1_HUMAN,23335038.740757722,19711411.676308375,24285331.809013147,18761118.60805295
"sp|Q9H9S3|S61A2_HUMAN,sp|P61619|S61A1_HUMAN",795707.9163688384,700647.8335819715,795707.9163688384,700647.8335819715
